Rk,Tm,G,Att,Yds,TD,Lng,Y/A,Y/G,Fmb,EXP
1,Seattle Seahawks,16,534,2560,15,61,4.8,160.0,18,18.93
2,Baltimore Ravens,16,547,2441,19,43,4.5,152.6,25,22.48
3,Los Angeles Rams,16,459,2231,23,56,4.9,139.4,17,65.94
4,Carolina Panthers,16,416,2136,17,59,5.1,133.5,20,44.06
5,New England Patriots,16,478,2037,18,34,4.3,127.3,11,6.60
6,Tennessee Titans,16,456,2027,15,99,4.4,126.7,18,-0.10
7,New Orleans Saints,16,471,2025,26,49,4.3,126.6,18,20.56
8,Houston Texans,16,472,2021,12,97,4.3,126.3,19,-6.60
9,Buffalo Bills,16,468,1984,15,45,4.2,124.0,23,-8.40
10,Dallas Cowboys,16,439,1963,13,41,4.5,122.7,23,17.99
11,Chicago Bears,16,468,1938,16,42,4.1,121.1,23,1.30
12,Denver Broncos,16,393,1907,18,65,4.9,119.2,18,16.77
13,San Francisco 49ers,16,423,1902,7,66,4.5,118.9,31,-27.70
14,Cleveland Browns,16,411,1893,15,92,4.6,118.3,19,-7.07
15,Los Angeles Chargers,16,399,1873,16,41,4.7,117.1,17,4.10
16,Kansas City Chiefs,16,387,1855,16,45,4.8,115.9,18,35.81
17,Washington Redskins,16,414,1774,12,90,4.3,110.9,18,-1.14
18,Miami Dolphins,16,371,1738,7,75,4.7,108.6,17,-14.17
19,Jacksonville Jaguars,16,416,1723,7,43,4.1,107.7,26,-23.44
20,Indianapolis Colts,16,408,1718,13,53,4.2,107.4,17,-13.08
21,Cincinnati Bengals,16,359,1682,13,51,4.7,105.1,11,-4.71
22,Green Bay Packers,16,333,1667,14,67,5.0,104.2,22,47.02
23,Detroit Lions,16,404,1660,11,71,4.1,103.8,14,-17.05
24,New York Giants,16,354,1650,13,78,4.7,103.1,16,-0.56
25,Oakland Raiders,16,387,1628,9,52,4.2,101.8,24,-41.83
26,New York Jets,16,410,1622,11,77,4.0,101.4,24,-48.94
27,Atlanta Falcons,16,351,1573,11,65,4.5,98.3,24,-19.08
28,Philadelphia Eagles,16,398,1570,12,32,3.9,98.1,29,-30.02
29,Tampa Bay Buccaneers,16,389,1523,11,28,3.9,95.2,23,-35.16
30,Minnesota Vikings,16,357,1493,9,70,4.2,93.3,15,-38.02
31,Pittsburgh Steelers,16,345,1445,16,30,4.2,90.3,21,-5.90
32,Arizona Cardinals,16,355,1342,9,53,3.8,83.9,23,-39.85
,Avg Team,,414.8,1831.3,13.7,58,4.4,114.5,20.1,-2.5
,League Total,,13272,58601,439,99,4.4,114.5,642,
,Avg Tm/G,,25.9,114.5,0.9,,4.4,114.5,1.3