,,,,Games,Games,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Total Yds,Total Yds,Total Yds,,
No.,Player,Age,Pos,G,GS,Att,Yds,TD,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,Ctch%,Touch,Y/Tch,YScm,RRTD,Fmb
25,Marlon Mack\MackMa00,22,RB,12,10,195,908,9,49,4.7,75.7,16.3,26,17,103,6.1,1,29,1.4,8.6,65.4%,212,4.8,1011,10,2
21,Nyheim Hines\HineNy00,22,rb,16,4,85,314,2,18,3.7,19.6,5.3,81,63,425,6.7,2,28,3.9,26.6,77.8%,148,5.0,739,4,1
20,Jordan Wilkins\WilkJo01,24,rb,16,3,60,336,1,53,5.6,21.0,3.8,17,16,85,5.3,0,17,1.0,5.3,94.1%,76,5.5,421,1,2
12,Andrew Luck\LuckAn00,29,QB,16,16,46,148,0,33,3.2,9.3,2.9,2,1,4,4.0,0,4,0.1,0.3,50.0%,47,3.2,152,0,6
7,Jacoby Brissett\BrisJa00,25,,4,0,7,-7,0,-1,-1.0,-1.8,1.8,,,,,,,,,,7,-1.0,-7,0,0
33,Robert Turbin\TurbRo00,29,,2,0,4,10,0,5,2.5,5.0,2.0,2,1,3,3.0,0,3,0.5,1.5,50.0%,5,2.6,13,0,1
85,Eric Ebron*\EbroEr00,25,te/wr,16,8,3,-8,1,2,-2.7,-0.5,0.2,110,66,750,11.4,13,53,4.1,46.9,60.0%,69,10.8,742,14,1
14,Zach Pascal\PascZa00,24,wr,16,4,2,10,0,8,5.0,0.6,0.1,46,27,268,9.9,2,28,1.7,16.8,58.7%,29,9.6,278,2,0
34,Jeremy McNichols\McNiJe00,23,,1,0,2,4,0,7,2.0,4.0,2.0,,,,,,,,,,2,2.0,4,0,0
38,Christine Michael\MichCh00,28,,1,0,2,9,0,8,4.5,9.0,2.0,,,,,,,,,,2,4.5,9,0,0
80,Chester Rogers\RogeCh02,24,WR,16,10,1,-4,0,-4,-4.0,-0.3,0.1,72,53,485,9.2,2,34,3.3,30.3,73.6%,54,8.9,481,2,1
16,Marcus Johnson\JohnMa07,24,,5,0,1,-2,0,-2,-2.0,-0.4,0.2,8,6,102,17.0,1,34,1.2,20.4,75.0%,7,14.3,100,1,0
13,T.Y. Hilton\HiltT.00,29,WR,14,14,0,0,0,0,,0.0,0.0,120,76,1270,16.7,6,68,5.4,90.7,63.3%,76,16.7,1270,6,0
11,Ryan Grant\GranRy01,28,WR,14,10,0,0,0,0,,0.0,0.0,52,35,334,9.5,1,23,2.5,23.9,67.3%,35,9.5,334,1,0
15,Dontrelle Inman\InmaDo00,29,wr,9,4,0,0,0,0,,0.0,0.0,39,28,304,10.9,3,29,3.1,33.8,71.8%,28,10.9,304,3,0
84,Jack Doyle\DoylJa00,28,te,6,6,0,0,0,0,,0.0,0.0,33,26,245,9.4,2,20,4.3,40.8,78.8%,26,9.4,245,2,1
86,Erik Swoope\SwooEr00,26,te,7,2,0,0,0,0,,0.0,0.0,10,8,87,10.9,3,26,1.1,12.4,80.0%,8,10.9,87,3,0
48,Mo Alie-Cox\AlieMo00,25,te,9,1,0,0,0,0,,0.0,0.0,13,7,133,19.0,2,34,0.8,14.8,53.8%,7,19.0,133,2,0
45,Ryan Hewitt\HewiRy00,27,te/wr,12,2,0,0,0,0,,0.0,0.0,2,1,1,1.0,1,1,0.1,0.1,50.0%,1,1.0,1,1,0
78,Ryan Kelly\KellRy00,25,C,12,12,0,0,0,0,,0.0,0.0,1,1,-4,-4.0,0,-4,0.1,-0.3,100.0%,1,-4.0,-4,0,1
,Team Total,25.9,,16,,408,1718,13,53,4.2,107.4,25.5,634,432,4595,10.6,39,68,27.0,287.2,,840,7.5,6313,52,17
,Opp Total,,,16,,417,1630,12,,3.9,101.9,26.1,,384,3805,9.9,21,,24.0,237.8,,,,5435,33,22